,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
32101,10:42.2,4.9609375,-12.875,-61.7687683105,Marker 41,Contrib per10 res,1,21,0,117,125.61
32102,10:42.4,5.1015625,-13.15625,-61.7573242188,Marker 41,Contrib per10 res,1,21,0,117,125.61
32103,10:42.6,5.25,-13.46875,-61.8056640625,Marker 41,Contrib per10 res,1,21,0,117,125.61
32104,10:42.8,5.328125,-13.7890625,-61.8333129883,Marker 41,Contrib per10 res,1,21,0,117,125.61
32105,10:42.10,5.3125,-14.078125,-61.7886962891,Marker 41,Contrib per10 res,1,21,0,117,125.61
32106,10:42.12,5.21875,-14.296875,-61.7054748535,Marker 41,Contrib per10 res,1,21,0,117,125.61
32107,10:42.14,5.125,-14.4140625,-61.6517333984,Marker 41,Contrib per10 res,1,21,0,117,125.61
32108,10:42.16,5.15625,-14.453125,-61.7030944824,Marker 41,Contrib per10 res,1,21,0,117,125.61
32109,10:42.18,5.3203125,-14.4609375,-61.7883605957,Marker 41,Contrib per10 res,1,21,0,117,125.61
32110,10:42.20,5.4453125,-14.484375,-61.7412414551,Marker 41,Contrib per10 res,1,21,0,117,125.61
32111,10:42.22,5.3984375,-14.515625,-61.5786132812,Marker 41,Contrib per10 res,1,21,0,117,125.61
32112,10:42.24,5.2578125,-14.4453125,-61.4835205078,Marker 41,Contrib per10 res,1,21,0,117,125.61
32113,10:42.26,5.203125,-14.265625,-61.532623291,Marker 41,Contrib per10 res,1,21,0,117,125.61
32114,10:42.28,5.2578125,-14.0625,-61.6332092285,Marker 41,Contrib per10 res,1,21,0,117,125.61
32115,10:42.30,5.375,-13.9609375,-61.7601623535,Marker 41,Contrib per10 res,1,21,0,117,125.61
32116,10:42.32,5.5546875,-13.8984375,-61.8145751953,Marker 41,Contrib per10 res,1,21,0,117,125.61
32117,10:42.34,5.7890625,-13.8359375,-61.724609375,Marker 41,Contrib per10 res,1,21,0,117,125.61
32118,10:42.36,5.96875,-13.75,-61.5829467773,Marker 41,Contrib per10 res,1,21,0,117,125.61
32119,10:42.38,6.0625,-13.6015625,-61.475189209,Marker 41,Contrib per10 res,1,21,0,117,125.61
32120,10:42.40,6.1015625,-13.4140625,-61.430480957,Marker 41,Contrib per10 res,1,21,0,117,125.61
32121,10:42.42,6.15625,-13.2265625,-61.458404541,Marker 41,Contrib per10 res,1,21,0,117,125.61
32122,10:42.44,6.25,-13.1171875,-61.5296936035,Marker 41,Contrib per10 res,1,21,0,117,125.61
32123,10:42.46,6.375,-13.0390625,-61.6184082031,Marker 41,Contrib per10 res,1,21,0,117,125.61
